datetime,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,hour,day,weekday,month,CO(GT)_rolling3,NOx(GT)_rolling3,NO2(GT)_rolling3,C6H6(GT)_rolling3,CO(GT)_lag1,NOx(GT)_lag1,NO2(GT)_lag1,C6H6(GT)_lag1
2004-03-10 19:00:00,2.0,1292.0,112.0,9.4,955.0,103.0,1174.0,92.0,1559.0,972.0,13.3,47.7,0.7255,19.0,10.0,2.0,3.0,2.3,134.5,102.5,10.65,2.6,166.0,113.0,11.9
2004-03-10 20:00:00,2.2,1402.0,88.0,9.0,939.0,131.0,1140.0,114.0,1555.0,1074.0,11.9,54.0,0.7502,20.0,10.0,2.0,3.0,2.266666666666667,133.33333333333334,106.33333333333333,10.1,2.0,103.0,92.0,9.4
2004-03-10 21:00:00,2.2,1376.0,80.0,9.2,948.0,172.0,1092.0,122.0,1584.0,1203.0,11.0,60.0,0.7867,21.0,10.0,2.0,3.0,2.1333333333333333,135.33333333333334,109.33333333333333,9.2,2.2,131.0,114.0,9.0
2004-03-10 22:00:00,1.6,1272.0,51.0,6.5,836.0,131.0,1205.0,116.0,1490.0,1110.0,11.2,59.6,0.7888,22.0,10.0,2.0,3.0,2.0000000000000004,144.66666666666666,117.33333333333333,8.233333333333333,2.2,172.0,122.0,9.2
2004-03-10 23:00:00,1.2,1197.0,38.0,4.7,750.0,89.0,1337.0,96.0,1393.0,949.0,11.2,59.2,0.7848,23.0,10.0,2.0,3.0,1.6666666666666667,130.66666666666666,111.33333333333333,6.8,1.6,131.0,116.0,6.5
2004-03-11 00:00:00,1.2,1185.0,31.0,3.6,690.0,62.0,1462.0,77.0,1333.0,733.0,11.3,56.8,0.7603,0.0,11.0,3.0,3.0,1.3333333333333333,94.0,96.33333333333333,4.933333333333334,1.2,89.0,96.0,4.7
2004-03-11 01:00:00,1.0,1136.0,31.0,3.3,672.0,62.0,1453.0,76.0,1333.0,730.0,10.7,60.0,0.7702,1.0,11.0,3.0,3.0,1.1333333333333333,71.0,83.0,3.8666666666666667,1.2,62.0,77.0,3.6
2004-03-11 02:00:00,0.9,1094.0,24.0,2.3,609.0,45.0,1579.0,60.0,1276.0,620.0,10.7,59.7,0.7648,2.0,11.0,3.0,3.0,1.0333333333333334,56.333333333333336,71.0,3.0666666666666664,1.0,62.0,76.0,3.3
2004-03-11 06:00:00,0.7,1052.0,16.0,1.6,553.0,34.0,1738.0,48.0,1221.0,472.0,10.5,58.1,0.7353,6.0,11.0,3.0,3.0,0.7,23.666666666666668,36.666666666666664,1.3333333333333333,0.7,16.0,28.0,1.1
2004-03-11 07:00:00,1.1,1144.0,29.0,3.2,667.0,98.0,1490.0,82.0,1339.0,730.0,10.2,59.6,0.7417,7.0,11.0,3.0,3.0,0.8333333333333334,49.333333333333336,52.666666666666664,1.9666666666666668,0.7,34.0,48.0,1.6
2004-03-11 08:00:00,2.0,1333.0,64.0,8.0,900.0,174.0,1136.0,112.0,1517.0,1102.0,10.8,57.4,0.7408,8.0,11.0,3.0,3.0,1.2666666666666666,102.0,80.66666666666667,4.266666666666667,1.1,98.0,82.0,3.2
2004-03-11 09:00:00,2.2,1351.0,87.0,9.5,960.0,129.0,1079.0,101.0,1583.0,1028.0,10.5,60.6,0.7691,9.0,11.0,3.0,3.0,1.7666666666666666,133.66666666666666,98.33333333333333,6.8999999999999995,2.0,174.0,112.0,8.0
2004-03-11 10:00:00,1.7,1233.0,77.0,6.3,827.0,112.0,1218.0,98.0,1446.0,860.0,10.8,58.4,0.7552,10.0,11.0,3.0,3.0,1.9666666666666668,138.33333333333334,103.66666666666667,7.933333333333334,2.2,129.0,101.0,9.5
2004-03-11 11:00:00,1.5,1179.0,43.0,5.0,762.0,95.0,1328.0,92.0,1362.0,671.0,10.5,57.9,0.7352,11.0,11.0,3.0,3.0,1.8,112.0,97.0,6.933333333333334,1.7,112.0,98.0,6.3
2004-03-11 12:00:00,1.6,1236.0,61.0,5.2,774.0,104.0,1301.0,95.0,1401.0,664.0,9.5,66.8,0.7951,12.0,11.0,3.0,3.0,1.5999999999999999,103.66666666666667,95.0,5.5,1.5,95.0,92.0,5.0
2004-03-11 13:00:00,1.9,1286.0,63.0,7.3,869.0,146.0,1162.0,112.0,1537.0,799.0,8.3,76.4,0.8393,13.0,11.0,3.0,3.0,1.6666666666666667,115.0,99.66666666666667,5.833333333333333,1.6,104.0,95.0,5.2
2004-03-11 14:00:00,2.9,1371.0,164.0,11.5,1034.0,207.0,983.0,128.0,1730.0,1037.0,8.0,81.1,0.8736,14.0,11.0,3.0,3.0,2.1333333333333333,152.33333333333334,111.66666666666667,8.0,1.9,146.0,112.0,7.3
2004-03-11 15:00:00,2.2,1310.0,79.0,8.8,933.0,184.0,1082.0,126.0,1647.0,946.0,8.3,79.8,0.8778,15.0,11.0,3.0,3.0,2.3333333333333335,179.0,122.0,9.200000000000001,2.9,207.0,128.0,11.5
